much	negative:-4.9485655646877005	positive:-4.9126872770227985
as	negative:-4.189718401828465	positive:-4.110969355396149
MC	negative:-10.323184242891017	positive:-9.630037062331072
Even	negative:-6.248632806355638	positive:-6.770822188771944
when	negative:-4.799672161338917	positive:-4.660763097480276
.	negative:-3.6967514114662325	positive:-3.7018019272523013
br	negative:-4.205075248054521	positive:-4.194448155480234
worth	negative:-6.414671336692304	positive:-6.232349779898349
cinema	negative:-7.02974345240982	positive:-6.433760020303522
TV	negative:-6.137465222573316	positive:-6.284068696765191
takes	negative:-6.320015885689971	positive:-6.009860957386131
>	negative:-4.2051071271689215	positive:-4.192368101391492
Roxy	negative:-10.323217104657997	positive:-9.224604815989887
watching	negative:-5.494693137727307	positive:-5.586042916315535
cost	negative:-8.531786193719137	positive:-8.244104121267357
State	negative:-8.937021322360168	positive:-9.22470339481195
think	negative:-5.153226644671497	positive:-5.103901578108996
best	negative:-5.669230093149541	positive:-5.101560570407022
Claus	negative:-9.630135644392501	positive:-8.936988463832558
I	negative:-3.881958409138153	positive:-3.961618341687399
even	negative:-4.714267393818239	positive:-5.096537884945935
seeing	negative:-6.4766122325841	positive:-6.152372564398521
and	negative:-3.739047115213977	positive:-3.716925198126706
Archive	negative:-10.323184242891017	positive:-9.630037062331072
there	negative:-4.607755837073114	positive:-4.843928888677658
which	negative:-4.829511400384267	positive:-4.86662906334077
Finland	negative:-10.323184242891017	positive:-9.630037062331072
unforgettable	negative:-9.224801963917187	positive:-8.377504103529983
scenes	negative:-5.418841739343135	positive:-5.535706079482446
Santa	negative:-8.937119891465406	positive:-8.531654783357242
an	negative:-4.483708517450899	positive:-4.368453928147875
of	negative:-3.7411501730411216	positive:-3.735887002996847
club	negative:-8.53168763756669	positive:-8.714009194360644
with	negative:-4.117371737012282	positive:-4.035082342255767
they	negative:-4.466680543140223	positive:-4.643972751529175
the	negative:-3.699242241149483	positive:-3.7005056651962547
more	negative:-4.831708777342882	positive:-4.617512012018479
got	negative:-5.685311652421517	positive:-5.744735072892317
have	negative:-4.152843073898286	positive:-4.2620423658632784
disagree	negative:-8.531786193719137	positive:-8.244104121267357
doing	negative:-6.121837973527395	positive:-6.688944433191975
``	negative:-4.366182072982016	positive:-4.464273895748218
disco	negative:-9.630102784785171	positive:-9.224637676677007
from	negative:-4.41781470362865	positive:-4.42582542737473
experience	negative:-7.38071506081586	positive:-6.540964406064039
especially	negative:-6.543519355208475	positive:-5.752998010623353
enjoyable	negative:-7.759482874031142	positive:-6.992227721317475
,	negative:-3.719721491535719	positive:-3.727493551383422
2004	negative:-8.937087036176523	positive:-8.713943484862313
if	negative:-4.680355228465692	positive:-4.914887426743911
this	negative:-3.828169379235968	positive:-3.8847320737272066
in	negative:-3.8273544152238013	positive:-3.793308573814084
big	negative:-5.909195467323961	positive:-6.108528369944453
than	negative:-4.962099727143832	positive:-4.934700752955717
on	negative:-4.176841962936864	positive:-4.1441859999628115
their	negative:-4.971693669719935	positive:-4.886631231176086
Especially	negative:-8.937218450855731	positive:-8.126288234639404
/	negative:-4.200874606480619	positive:-4.194511912692791
summer	negative:-8.377898282820965	positive:-7.615758230774069
do	negative:-4.460739982602773	positive:-4.688070560271199
that	negative:-3.868148342174847	positive:-3.9081536767885456
Movie	negative:-7.551351068212759	positive:-8.021354697458495
is	negative:-3.7970123469564463	positive:-3.784503497264738
Christmas	negative:-7.758760544157663	positive:-8.531950432391145
It	negative:-4.508871179263109	positive:-4.4038022513023485
ticket	negative:-8.937218450855731	positive:-8.126288234639404
film	negative:-4.299475882523751	positive:-4.23346785340682
TV.	negative:-10.323217104657997	positive:-9.224604815989887
by	negative:-4.439128434592452	positive:-4.420285346790972
